Rope_ID,Timestamp,Source,Event,Details
67,17:44:08,Tactile,COMPRESSIBILITY SPIKE,ADC: 87849.90
67,17:44:08,Tactile,COMPRESSIBILITY SPIKE,ADC: 89227.60
67,17:44:09,Tactile,COMPRESSIBILITY SPIKE,ADC: 92924.00
67,17:44:09,Tactile,COMPRESSIBILITY SPIKE,ADC: 160778.50
67,17:44:10,CAMERA,VISUAL_ALERT,Bad Label
67,17:44:10,Tactile,COMPRESSIBILITY SPIKE,ADC: 186398.30
67,17:44:10,Tactile,COMPRESSIBILITY SPIKE,ADC: 209868.80
67,17:44:11,Tactile,COMPRESSIBILITY SPIKE,ADC: 213452.50
67,17:44:11,CAMERA,VISUAL_ALERT,Bad Label
67,17:44:11,Tactile,COMPRESSIBILITY SPIKE,ADC: 189319.60
67,17:44:12,Tactile,COMPRESSIBILITY SPIKE,ADC: 195052.60
67,17:44:22,Tactile,COMPRESSIBILITY SPIKE,ADC: 82906.00
67,17:44:22,Tactile,COMPRESSIBILITY SPIKE,ADC: 85560.40
67,17:44:22,Tactile,COMPRESSIBILITY SPIKE,ADC: 95488.90
67,17:44:23,Tactile,COMPRESSIBILITY SPIKE,ADC: 106606.20
67,17:44:23,Tactile,COMPRESSIBILITY SPIKE,ADC: 98250.60
67,17:44:24,Tactile,COMPRESSIBILITY SPIKE,ADC: 102939.70
67,17:44:25,Tactile,COMPRESSIBILITY SPIKE,ADC: 96807.20
67,17:44:25,Tactile,COMPRESSIBILITY SPIKE,ADC: 91353.30
67,17:44:26,Tactile,COMPRESSIBILITY SPIKE,ADC: 89089.80
67,17:44:31,CAMERA,VISUAL_ALERT,Bad Label
67,17:44:41,Tactile,COMPRESSIBILITY SPIKE,ADC: 100936.10
67,17:44:41,Tactile,COMPRESSIBILITY SPIKE,ADC: 97023.00
67,17:44:42,Tactile,COMPRESSIBILITY SPIKE,ADC: 105852.90
67,17:44:42,Tactile,COMPRESSIBILITY SPIKE,ADC: 111977.90
67,17:44:43,Tactile,COMPRESSIBILITY SPIKE,ADC: 116313.70
67,17:44:43,Tactile,COMPRESSIBILITY SPIKE,ADC: 117043.20
67,17:44:44,Tactile,COMPRESSIBILITY SPIKE,ADC: 118852.10
67,17:44:45,Tactile,COMPRESSIBILITY SPIKE,ADC: 107283.80
67,17:44:45,Tactile,COMPRESSIBILITY SPIKE,ADC: 111622.60
67,17:44:47,CAMERA,VISUAL_ALERT,Bad Label
67,17:44:51,Tactile,COMPRESSIBILITY SPIKE,ADC: 95590.20
67,17:44:51,Tactile,COMPRESSIBILITY SPIKE,ADC: 88009.00
67,17:44:52,Tactile,COMPRESSIBILITY SPIKE,ADC: 83996.50
67,17:44:52,Tactile,COMPRESSIBILITY SPIKE,ADC: 81449.10
67,17:44:53,Tactile,COMPRESSIBILITY SPIKE,ADC: 74690.50
67,17:44:54,Tactile,COMPRESSIBILITY SPIKE,ADC: 76057.40
67,17:44:54,Tactile,COMPRESSIBILITY SPIKE,ADC: 81140.00
67,17:44:55,Tactile,COMPRESSIBILITY SPIKE,ADC: 94231.60
67,17:44:55,Tactile,COMPRESSIBILITY SPIKE,ADC: 89927.50
67,17:45:08,Tactile,COMPRESSIBILITY SPIKE,ADC: 98920.00
67,17:45:08,Tactile,COMPRESSIBILITY SPIKE,ADC: 98488.10
67,17:45:08,Tactile,COMPRESSIBILITY SPIKE,ADC: 86694.10
67,17:45:09,Tactile,COMPRESSIBILITY SPIKE,ADC: 83968.50
67,17:45:10,Tactile,COMPRESSIBILITY SPIKE,ADC: 83924.30
67,17:45:10,Tactile,COMPRESSIBILITY SPIKE,ADC: 81141.20
67,17:45:11,Tactile,COMPRESSIBILITY SPIKE,ADC: 91069.70
67,17:45:11,Tactile,COMPRESSIBILITY SPIKE,ADC: 82892.10
67,17:45:12,Tactile,COMPRESSIBILITY SPIKE,ADC: 82658.40
67,17:45:18,CAMERA,VISUAL_ALERT,Bad Label
67,17:45:19,CAMERA,VISUAL_ALERT,Bad Label
67,17:45:27,Tactile,COMPRESSIBILITY SPIKE,ADC: 73677.20
67,17:45:27,Tactile,COMPRESSIBILITY SPIKE,ADC: 73119.20
